A1,A6,B1,B9,D1,E38,year,weight,B10
2,3,8218,2,9,NA,2016,105.253527751603,NA
2,3,8218,2,8,NA,2016,108.078974180107,NA
1,7,8231,1,2,NA,2016,127.562715249726,3
1,6,8313,2,4,NA,2016,10.1887831539162,NA
2,2,8236,1,2,NA,2016,73.6335214177529,3
2,7,8534,1,2,NA,2016,117.636295722456,3
2,1,8215,1,8,NA,2016,47.4411764705882,2
2,5,8264,2,4,NA,2016,114.302214820726,NA
1,9,8207,1,8,NA,2016,215.845074456563,2
1,10,8207,1,6,NA,2016,215.011695791149,4
1,11,8231,1,2,NA,2016,127.562715249726,5
1,4,8207,2,8,NA,2016,255.711092776512,NA
1,7,8215,1,7,NA,2016,32.4527266661945,5
1,3,8229,1,4,NA,2016,22.1597661958095,4
2,6,8229,1,8,NA,2016,20.211326255055,2
2,8,8207,1,9,NA,2016,311.822959595088,3
2,5,8406,2,7,NA,2016,31.6666495541945,NA
2,4,8218,2,8,NA,2016,105.253527751603,NA
2,5,8218,1,8,NA,2016,105.253527751603,5
2,9,8215,1,7,NA,2016,31.2227431976525,1
1,4,8218,1,5,NA,2016,106.771943494037,2
1,5,8231,1,2,NA,2016,161.456190316157,5
1,4,8510,1,8,NA,2016,12.2027112521508,2
1,2,8510,1,7,NA,2016,15.3400932715348,4
1,3,8510,1,8,NA,2016,38.7921736556311,4
1,5,8236,1,2,NA,2016,44.3734396580336,3
1,1,8256,1,4,NA,2016,92.2463794214078,5
1,3,8231,2,8,NA,2016,145.913948583214,NA
1,2,8439,2,8,NA,2016,24.3891328104788,NA
2,7,8229,2,8,NA,2016,20.2200819493145,NA
1,2,8212,2,4,NA,2016,92.2463794214078,NA
2,5,8439,1,6,NA,2016,118.712385680636,3
2,4,8231,2,8,NA,2016,122.292834758137,NA
1,3,8510,1,7,NA,2016,15.8836943984518,2
1,10,8423,1,8,NA,2016,32.4527266661945,2
2,7,8207,1,9,NA,2016,255.501995173598,5
1,10,8207,1,9,NA,2016,215.845074456563,4
2,2,8406,2,2,NA,2016,32.1692409192405,NA
2,2,8510,1,8,NA,2016,16.0565933217784,1
2,9,8313,2,4,NA,2016,9.3679918497525,NA
2,4,8207,1,9,NA,2016,352.189436344679,2
1,2,8231,1,3,NA,2016,115.283157850041,1
1,3,8510,1,9,NA,2016,12.2441590226343,2
2,2,8439,1,7,NA,2016,19.2976680352505,2
2,2,8359,1,5,NA,2016,47.4411764705882,2
2,6,8229,2,5,NA,2016,20.211326255055,NA
2,6,8423,1,8,NA,2016,22.8305835092597,1
2,7,8229,1,7,NA,2016,20.2200819493145,3
1,7,8231,1,3,NA,2016,127.562715249726,2
1,3,8229,2,8,NA,2016,32.3606557377049,NA
2,9,8229,1,4,NA,2016,20.211326255055,2
2,9,8218,1,8,NA,2016,255.501995173598,3
1,3,8439,1,8,NA,2016,22.8305835092597,2
2,1,8510,1,8,NA,2016,16.0565933217784,5
2,10,8231,1,2,NA,2016,182.248517720399,3
2,9,8406,2,2,NA,2016,31.6666495541945,NA
1,6,8236,2,8,NA,2016,58.710173106203,NA
1,4,8510,2,6,NA,2016,12.2027112521508,NA
1,2,8236,1,2,NA,2016,42.9796063940674,2
2,6,8510,1,3,NA,2016,13.1335672450724,1
1,10,8439,1,4,NA,2016,18.8616349612914,1
2,3,8215,1,7,NA,2016,47.4411764705882,3
2,9,8231,1,4,NA,2016,182.248517720399,3
1,7,8229,2,8,NA,2016,22.1597661958095,NA
1,3,8218,1,7,NA,2016,115.364006574644,2
1,1,8218,1,7,NA,2016,115.364006574644,5
1,8,8231,2,2,NA,2016,179.559973669534,NA
2,6,8207,1,2,NA,2016,311.822959595088,3
1,5,8212,1,4,NA,2016,90.7128740959531,2
2,5,8229,1,4,NA,2016,20.211326255055,1
