"W16A1";"W16A6";"W16B1";"W16B9";"W16D1";"weight_2016"
1;7;8439;1;7;18.8616349612914
1;11;8212;1;4;110.039775888745
2;4;8424;1;6;68.8105369285182
2;7;8215;1;3;28.622772884561
2;4;8231;1;8;122.292834758137
2;1;8401;2;7;32.1692409192405
2;5;8354;1;1;8.63859073896496
2;6;8354;1;5;8.63859073896496
1;5;8218;1;5;115.364006574644
2;2;8439;1;8;19.2976680352505
2;6;8212;1;8;103.594552567325
1;9;8207;1;4;96.7967100187466
2;8;8207;1;8;255.501995173598
1;11;8218;1;1;115.364006574644
1;1;8231;1;9;115.283157850041
1;7;8229;2;4;20.1563003484699
1;7;8231;1;2;127.562715249726
2;9;8406;1;6;38.2234430314533
1;7;8236;1;6;62.7233583136164
1;6;8231;2;3;161.456190316157
2;6;8212;1;8;114.302214820726
2;3;8401;2;7;31.6666495541945
2;2;8423;1;8;19.2976680352505
1;9;8231;1;3;157.275872994598
1;3;8236;2;2;58.710173106203
2;5;8215;1;7;38.7921736556311
2;5;8212;1;6;114.302214820726
2;9;8513;1;7;31.2227431976525
2;2;8218;2;8;108.078974180107
2;1;8439;1;7;19.2976680352505
2;2;8320;1;8;23.9678799341562
2;10;8212;2;9;103.594552567325
2;6;8207;2;4;311.822959595088
1;3;8215;1;7;38.7921736556311
2;3;8212;1;9;114.302214820726
2;4;8423;1;8;28.3557932169374
1;3;8231;1;6;161.456190316157
2;4;8336;1;5;8.63859073896496
2;6;8231;2;4;122.292834758137
1;5;8231;1;2;127.562715249726
2;5;8218;1;8;117.636295722456
1;8;8207;1;4;215.845074456563
1;5;8215;1;7;38.7921736556311
1;7;8510;2;9;12.2027112521508
1;1;8229;2;5;32.3606557377049
2;6;8212;1;7;114.302214820726
1;10;8309;1;2;14.4115340510018
1;2;8218;1;2;138.501127197156
2;5;8510;2;8;13.1335672450724
2;5;8231;1;2;118.712385680636
2;6;8438;1;7;117.636295722456
1;7;8215;1;7;32.4527266661945
2;11;8423;1;5;25.7427298201403
2;10;8231;1;3;182.248517720399
2;5;8236;1;7;45.0972990249956
1;1;8229;2;3;32.3606557377049
2;8;8354;1;7;9.3679918497525
1;4;8218;1;9;96.7967100187466
1;8;8218;1;5;110.015037418155
2;4;8218;2;9;105.253527751603
1;7;8229;1;2;20.774459285079
1;6;8439;2;8;21.5734489737051
1;8;8439;1;8;18.8616349612914
2;3;8212;1;6;114.302214820726
1;2;8231;1;5;115.283157850041
2;5;8231;1;2;118.712385680636
1;3;8229;2;4;22.1597661958095
1;4;8215;1;7;31.2227431976525
2;6;8229;1;8;20.211326255055
1;2;8218;2;5;128.18586113674
1;8;8336;2;8;10.1887831539162
1;10;8207;1;9;215.845074456563
1;3;8236;2;8;58.710173106203
2;4;8424;1;2;45.0972990249956
1;5;8406;1;2;33.620848202021
1;3;8423;1;4;21.9237870339284
1;11;8510;1;7;15.8836943984518
2;3;8229;1;9;20.211326255055
2;5;8218;2;7;105.253527751603
1;10;8207;2;8;215.011695791149
2;5;8218;1;5;117.636295722456
2;8;8315;1;7;9.3679918497525
1;3;8510;1;7;12.2441590226343
2;9;8439;1;2;28.3557932169374
1;9;8236;1;6;49.6335130520869
2;8;8510;1;8;13.1335672450724
2;10;8215;2;3;26.4774227347595
2;3;8431;2;2;31.6666495541945
1;10;8231;1;2;157.275872994598
1;1;8406;1;8;32.3395327179569
2;5;8236;2;8;50.0081358505039
2;3;8406;1;7;31.6666495541945
2;7;8231;1;3;118.712385680636
1;10;8265;1;7;215.845074456563
1;2;8424;1;9;32.3395327179569
2;7;8231;1;4;118.712385680636
1;3;8218;1;5;115.364006574644
2;1;8229;2;3;28.7252461963411
1;6;8215;2;7;38.7921736556311
1;6;8231;1;2;127.562715249726
2;2;8236;1;8;53.5132453047881
1;7;8229;2;5;20.774459285079
1;5;8218;1;8;106.771943494037
1;10;8510;2;7;12.2027112521508
1;1;8229;2;6;32.3606557377049
1;9;8607;1;2;32.4527266661945
2;1;8231;1;3;143.445621063506
1;2;8510;1;8;15.3400932715348
2;7;8207;1;8;352.189436344679
1;2;8236;1;6;60.7531278352279
2;10;8229;1;3;20.211326255055
1;2;8510;1;7;15.3400932715348
1;6;8231;2;2;127.562715249726
2;6;8423;2;8;25.7427298201403
1;10;8215;2;6;28.5255755163259
1;6;8231;2;1;127.562715249726
2;2;8406;1;7;32.1692409192405
2;1;8215;1;8;47.4411764705882
1;5;8231;2;1;161.456190316157
1;10;8231;2;2;179.559973669534
1;1;8439;1;8;24.7851956509531
1;5;8510;1;7;12.2027112521508
1;7;8218;2;8;110.015037418155
2;3;8510;1;7;13.1335672450724
1;2;8212;2;8;92.2463794214078
2;4;8229;1;9;20.211326255055
1;5;8336;1;8;10.1887831539162
2;3;8236;2;8;50.0081358505039
2;6;8231;1;2;182.248517720399
2;4;8406;1;4;118.712385680636
2;3;8218;2;8;105.253527751603
1;9;8231;1;3;157.275872994598
2;2;8229;1;7;28.7252461963411
2;4;8354;1;6;8.63859073896496
1;7;8207;2;5;255.711092776512
1;3;8215;1;8;38.7921736556311
1;6;8439;2;9;21.5734489737051
1;6;8406;1;8;157.275872994598
2;6;8231;1;4;122.292834758137
2;4;8523;2;8;114.302214820726
2;1;8218;2;8;108.078974180107
2;6;8229;1;2;20.211326255055
2;5;8310;2;3;8.63859073896496
2;4;8218;2;4;117.636295722456
1;3;8215;1;8;38.7921736556311
2;3;8218;2;8;105.253527751603
2;4;8231;1;6;122.292834758137
2;8;8229;1;8;19.7031775987449
2;10;8231;1;2;118.712385680636
2;9;8212;2;7;311.822959595088
2;4;8215;1;7;31.2227431976525
1;4;8231;1;8;127.562715249726
2;1;8439;1;7;19.2976680352505
2;9;8439;1;9;28.3557932169374
2;4;8207;1;9;352.189436344679
1;3;8207;2;3;255.711092776512
1;3;8215;1;8;32.4527266661945
2;4;8231;1;2;122.292834758137
2;8;8231;1;2;182.248517720399
1;7;8410;2;5;49.6335130520869
2;9;8229;1;7;20.2200819493145
2;7;8215;1;8;26.4774227347595
1;6;8212;1;8;90.7128740959531
2;3;8236;2;3;68.8105369285182
1;6;8231;2;2;161.456190316157
1;4;8229;2;8;22.1597661958095
1;4;8439;1;9;21.5734489737051
2;6;8231;1;4;122.292834758137
2;9;8236;1;8;45.5669371189829
1;5;8207;1;7;255.711092776512
2;3;8231;1;2;122.292834758137
1;3;8263;1;8;127.562715249726
1;9;8229;2;4;20.774459285079
1;9;8510;1;4;14.643253502575
1;11;8229;2;9;20.1563003484699
1;8;8212;2;7;93.8323670369613
2;4;8265;1;8;114.302214820726
2;10;8510;1;7;13.1335672450724
2;3;8229;1;7;22.1597661958095
2;5;8231;1;2;118.712385680636
2;4;8439;1;7;22.8305835092597
1;2;8439;1;8;24.7851956509531
1;8;8215;2;6;38.7921736556311
2;7;8510;1;8;13.1335672450724
1;2;8218;2;2;128.18586113674
2;4;8212;1;8;103.185087932649
2;5;8231;2;2;122.292834758137
1;1;8218;2;2;128.18586113674
1;2;8545;2;4;32.3606557377049
2;1;8236;2;8;73.6335214177529
1;4;8207;2;5;255.711092776512
2;6;8218;1;5;99.9422914896897
1;2;8510;1;8;15.2881654368882
2;7;8543;1;2;13.1335672450724
1;5;8229;2;5;22.1597661958095
1;4;8510;2;7;12.2027112521508
1;1;8510;1;7;15.3400932715348
1;2;8201;2;6;128.18586113674
1;7;8207;1;8;28.5255755163259
2;4;8439;1;7;22.8305835092597
2;2;8406;1;9;32.1692409192405
1;4;8601;1;6;18.8616349612914
2;2;8236;1;6;53.5132453047881
1;1;8207;1;7;426
2;4;8510;1;7;13.1335672450724
1;9;8229;2;8;20.774459285079
1;7;8543;1;7;15.8836943984518
1;2;8215;1;8;45.9151882793089
1;5;8231;1;2;127.562715249726
2;11;8212;1;6;103.185087932649
1;5;8215;1;7;38.7921736556311
1;11;8212;2;6;90.7128740959531
2;3;8215;1;8;31.2227431976525
1;2;8218;2;6;128.18586113674
2;1;8236;1;9;48.2582040754805
2;6;8218;1;5;117.636295722456
1;5;8218;1;4;115.364006574644
1;3;8212;1;6;90.7128740959531
1;9;8229;1;6;20.1563003484699
1;4;8510;1;7;14.643253502575
2;4;8231;1;4;118.712385680636
1;3;8236;2;9;60.7531278352279
2;7;8207;2;8;311.822959595088
2;4;8406;1;6;31.6666495541945
1;5;8231;2;8;161.456190316157
